gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Fam71d	0	0	0	0
Mpp5	1229	2161	1575	1804
Atp6v1d	4263	5513	4347	4801
Eif2s1	6584	7635	7602	6995
Plek2	60	17	5	42
Tmem229b	4232	3920	6607	6116
Plekhh1	43	31	93	42
Pigh	1818	2614	1731	2517
9230116L04Rik	12	4	0	8
Arg2	6	20	9	0
Vti1b	3562	3971	3333	2997
Rdh11	1824	2369	2165	2099
Rdh12	1091	1830	1030	1130
Zfyve26	741	929	1142	891
Rad51b	823	966	823	991
9430078K24Rik	0	0	0	0
Zfp36l1	1377	1745	1260	1372
2310015A10Rik	846	1473	895	804
Actn1	1230	1076	1320	982
Dcaf5	4368	4738	5146	4607
Mir1843a	0	0	0	0
Scarna3b	0	0	0	0
Exd2	2594	4298	2690	3192
2310002D06Rik	0	0	0	0
Galnt16	0	0	0	0
Erh	274	265	193	231
Slc39a9	3494	4245	4675	4295
Plekhd1os	0	0	0	0
Plekhd1	0	1	0	0
Ccdc177	15	31	32	2
Susd6	3227	4005	5154	3177
1700052I22Rik	0	0	0	0
Gm20337	22	51	19	41
Srsf5	15109	15560	14224	11428
Slc10a1	1	18	9	3
Smoc1	1117	958	666	593
Mir3067	0	0	0	0
Slc8a3	0	0	0	0
Cox16	153	190	154	160
Synj2bp-cox16	0	0	0	0
Gm4787	4	6	0	10
Adam4	21	19	7	17
Synj2bp	2950	3219	2401	2346
Adam21	3	3	0	12
Med6	960	1547	830	890
Ttc9	30	39	29	44
Map3k9	547	522	435	510
Pcnx	1048	1187	1490	1224
Sipa1l1	4058	4908	5370	5909
Rgs6	5	5	4	4
1700085C21Rik	0	0	0	0
Dpf3	7	31	61	53
Dcaf4	3551	3899	3105	3235
Zfyve1	1893	3221	1918	2637
Rbm25	10851	7437	10235	7359
Psen1	7805	7759	8550	7651
Papln	0	0	0	0
Numb	2111	2121	2162	2060
2410016O06Rik	5244	4282	5970	4391
Acot2	1353	2042	1174	1244
Acot1	1210	1450	726	555
Acot4	149	339	145	119
Acot3	53	68	0	15
Acot5	0	1	0	0
Acot6	154	141	73	96
Dnal1	48	92	15	29
Pnma1	42	59	48	43
Elmsan1	1498	1658	1976	1527
Ptgr2	4795	6619	4954	5359
Zfp410	4802	6381	5178	5098
Fam161b	131	328	98	259
Coq6	2526	2841	2744	2754
Entpd5	6607	6626	8030	6174
Ccdc176	164	174	181	95
Rnf113a2	1638	2307	2030	1912
Aldh6a1	4140	4905	3887	3725
Lin52	1075	1253	1063	951
Vsx2	0	0	0	0
Abcd4	1265	1758	1244	1245
Vrtn	17	3	0	2
Syndig1l	1	6	0	0
Npc2	6334	7359	7497	7623
Isca2	2883	3542	2408	2360
Ltbp2	0	0	0	0
D030025P21Rik	0	0	0	0
Arel1	2369	2829	3417	2895
Fcf1	1404	1422	1136	1127
Ylpm1	2296	2423	3198	2686
Prox2	311	318	328	372
Dlst	6779	7905	7795	6611
Rps6kl1	15	13	25	5
Pgf	19	4	18	14
Eif2b2	4888	4684	4696	4501
Mlh3	1095	1646	1318	1194
Mir6938	0	0	0	0
Acyp1	1290	2298	1015	1558
Zc2hc1c	5	43	11	15
Nek9	5677	7100	7706	7320
Tmed10	4587	4640	6464	4978
Fos	3070	957	560	456
Jdp2	5864	2117	3431	1668
Batf	2301	2668	2108	2068
Mfsd7c	3	26	8	25
0610007P14Rik	5153	4822	5408	4408
Ttll5	1965	1744	2148	1718
Tgfb3	85	182	123	166
Ift43	112	167	40	87
Gm805	0	0	0	0
Gpatch2l	3490	4142	3720	4054
Esrrb	0	0	0	0
Vash1	182	148	188	112
Angel1	2165	2044	1994	2512
Lrrc74a	0	0	0	0
Irf2bpl	1502	1790	2410	1468
Cipc	4364	4124	4997	4418
Zdhhc22	0	0	0	0
Tmem63c	0	0	0	0
Ngb	2	0	0	0
Pomt2	1453	1805	2463	2073
Gstz1	3906	4401	3925	3637
Tmed8	487	519	819	624
Samd15	58	31	37	31
Noxred1	76	101	95	104
Vipas39	3693	4559	3927	4510
Ahsa1	13433	11161	12572	11644
Ism2	0	0	0	0
Sptlc2	4648	3862	5539	4271
Alkbh1	4306	3881	4096	2944
Mir3068	2	4	0	5
Nrp	321	350	206	188
Slirp	458	622	357	413
Snw1	12187	14233	14032	12577
Gm8300	0	0	0	0
Gm2042	0	0	0	0
Oog1	0	0	0	0
BB287469	0	0	0	0
Gm4027	0	0	0	0
Gm16381	0	0	0	0
Gm21319	0	0	0	2
Gm1995	33	32	46	40
Gm2016	0	0	0	0
Gm2022	0	0	0	0
Gm10436	0	0	0	0
Gm5662	0	0	0	0
Gm7104	7	19	10	12
Gm5039	0	0	0	0
Adck1	2918	3644	2858	2969
3200001D21Rik	38	43	40	51
Nrxn3	0	0	0	0
Dio2	325	301	389	250
Cep128	3658	2914	4081	3829
5430427M07Rik	0	0	0	3
Mir669c	0	0	0	0
Tshr	17	0	0	0
Gtf2a1	2223	2313	2612	2380
Ston2	212	179	154	94
Sel1l	6784	6798	9155	7662
4930559C10Rik	0	0	0	0
Mir8099-2	0	0	0	0
Mir8099-1	0	0	0	0
Flrt2	0	0	0	9
1700019M22Rik	0	0	0	0
Galc	1062	1435	1310	1129
Gpr65	4384	2288	3895	2126
Kcnk10	0	5	0	0
Spata7	578	991	507	776
Ptpn21	1300	1490	1279	1430
Zc3h14	11858	12929	11542	12114
Eml5	381	437	310	254
Ttc8	1434	2054	1347	1668
4930474N09Rik	0	0	3	0
Foxn3	7010	6473	5648	5708
1700064M15Rik	0	0	0	0
Efcab11	307	308	472	420
Tdp1	4579	3232	4176	3760
Kcnk13	3	2	0	0
Psmc1	8356	7563	9111	7997
Nrde2	3524	3522	3699	3933
Gm10433	19	31	16	51
Calm1	23295	19454	22730	20074
Gm10432	4	6	19	0
Ttc7b	5240	4887	5670	4930
Rps6ka5	2334	2901	3575	2871
9030617O03Rik	753	1533	2354	1923
Gpr68	69	24	59	44
Ccdc88c	1189	1195	1656	1236
Mir1190	0	0	0	0
Smek1	6406	7652	8785	7877
D130020L05Rik	261	500	354	318
Kif4-ps	6	6	18	6
Catsperb	0	0	0	0
Tc2n	0	0	0	8
Fbln5	32	34	17	0
Trip11	1098	1210	894	846
Atxn3	1505	2368	2454	2077
Cpsf2	7157	8521	9239	8758
Slc24a4	0	13	6	0
Rin3	15281	17585	16731	16337
Lgmn	621	765	642	596
Golga5	6322	6830	6232	6175
Chga	371	117	285	140
Itpk1	5733	6518	5075	6461
Mir1936	0	0	0	0
Moap1	0	3	0	0
Gm20604	0	0	0	0
Tmem251	2213	1705	2190	1797
AK010878	640	692	629	529
Ubr7	5463	6270	6789	5950
Btbd7	515	729	641	643
Cox8c	0	0	0	0
Unc79	153	329	139	190
Prima1	0	1	0	0
Fam181a	0	0	1	0
Asb2	51	33	7	2
Otub2	678	1284	801	869
Ddx24	14065	12882	15518	13779
Ifi27l2a	58	123	380	278
Ifi27	4264	5220	10787	10235
Ifi27l2b	1	0	0	4
Ppp4r4	52	16	56	28
Serpina10	0	0	0	0
Serpina6	0	0	0	0
Serpina1f	0	0	0	0
Serpina1b	0	0	0	0
Serpina1d	0	0	0	0
Serpina1a	0	0	0	0
Serpina1c	0	0	0	0
Serpina1e	0	0	0	0
Serpina11	0	0	0	0
Serpina9	0	0	0	0
Serpina12	2	0	4	0
Serpina4-ps1	0	0	0	0
Serpina5	0	0	0	0
Serpina3a	0	0	0	0
Serpina3b	3	0	3	0
Serpina3c	0	0	0	0
Serpina3g	12396	21334	21202	16984
Serpina3f	182	425	804	503
Serpina3h	36	66	55	30
Serpina3i	0	0	6	0
Serpina3j	0	0	0	0
Serpina3k	0	0	0	0
Serpina3m	0	0	3	1
Serpina3n	12	2	9	0
Gsc	0	0	4	0
Dicer1	1792	1552	2029	1806
Clmn	134	106	59	91
Syne3	1324	1507	1969	1428
Snhg10	90	118	88	73
Scarna13	4	51	33	12
Mir3069	0	0	0	0
Glrx5	6313	6135	6305	4751
Tcl1b2	0	0	8	0
Tcl1b1	0	0	0	0
Tcl1b5	0	0	0	0
Tcl1b3	0	0	0	0
Tcl1b4	0	0	0	0
Tcl1	0	0	0	0
Tunar	0	0	0	0
Gm2721	6	5	0	10
D430019H16Rik	1	24	14	1
AU015791	0	0	0	0
Bdkrb2	0	0	0	0
Bdkrb1	0	1	0	4
Atg2b	1636	2014	2502	1926
Gskip	1908	2728	2295	1894
Ak7	23	24	22	5
Papola	14640	16113	18425	15042
Vrk1	7967	7182	8605	7554
1700121N20Rik	0	0	0	0
4933406K04Rik	0	0	0	0
4930465M20Rik	0	0	0	0
Bcl11b	63	5	33	84
Setd3	3129	3335	3750	3168
Ccnk	598	666	581	684
Ccdc85c	69	43	31	70
Hhipl1	0	0	0	0
Cyp46a1	12	45	61	40
Eml1	0	0	0	15
Gm16596	0	0	0	0
Evl	1341	1489	1577	1380
Mir342	0	0	0	0
Degs2	39	46	85	51
Yy1	1928	2126	2061	1694
Slc25a29	302	212	265	112
Mir345	0	2	7	8
Slc25a47	153	152	229	151
Wars	11418	8250	10413	8813
Wdr25	693	881	712	724
Begain	417	364	409	231
Dlk1	276	139	160	160
Meg3	76	119	9	40
Mir1906-2	0	0	0	0
Mir1906-1	0	0	0	0
Mir770	0	0	0	0
Mir673	0	0	0	0
Mir493	0	0	0	0
Mir337	0	0	0	0
Mir3544	0	0	0	0
Mir540	0	0	0	0
Mir665	0	0	0	0
Mir3070a	0	0	0	0
Mir3070b	0	0	0	0
Rtl1	0	0	0	0
Mir431	0	0	0	0
6430411K18Rik	0	0	0	0
Mir433	0	0	0	0
Mir127	0	0	0	0
Mir434	0	0	0	0
Mir432	0	0	0	0
Mir3071	0	0	0	0
Mir136	0	0	0	0
Rian	9	6	8	4
Mir341	0	0	0	0
Mir1188	0	0	0	0
Mir370	0	0	0	0
AF357425	0	0	0	0
AF357426	0	0	0	0
DQ267100	0	0	0	0
AF357359	0	0	0	0
DQ267101	0	0	0	0
AF357355	0	0	0	0
DQ267102	0	0	0	0
Mir882	0	0	0	0
Mir379	0	0	0	0
Mir411	0	0	0	0
Mir299a	0	0	0	0
Mir299b	0	0	0	0
Mir380	0	0	0	0
Mir1197	0	0	0	0
Mir323	0	0	0	0
Mir758	0	0	0	0
Mir329	0	0	0	0
Mir494	0	0	0	0
Mir679	0	0	0	0
Mir1193	0	0	0	0
Mir666	0	0	0	0
Mir543	0	0	0	0
Mir495	0	0	0	0
Mir667	0	0	0	0
Mir376c	0	0	0	0
Mir654	0	0	0	0
Mir376b	0	0	0	0
Mir376a	0	0	0	0
Mir300	0	0	0	0
Mir381	0	0	0	0
Mir487b	0	0	0	0
Mir539	0	0	0	0
Mir544	0	0	0	0
Mir382	0	0	0	0
Mir134	0	0	0	0
Mir668	0	0	0	0
Mir485	0	0	0	0
Mirg	0	0	0	0
Mir453	0	0	0	0
Mir154	0	0	0	0
Mir496a	0	0	0	0
Mir377	0	0	0	0
Mir541	0	0	0	0
Mir409	0	0	0	0
Mir412	0	0	0	0
Mir369	0	0	0	0
Mir410	0	0	0	0
Mir3072	0	0	0	0
3110009F21Rik	0	0	0	0
Dio3os	0	0	0	0
Mir1247	0	0	0	0
Dio3	0	0	0	0
Ppp2r5c	14414	15754	16005	15331
B930059L03Rik	94	90	76	144
Dync1h1	2805	2540	2933	2643
1700001K19Rik	3	8	0	5
Hsp90aa1	5546	4191	6337	5180
Wdr20	1740	1763	1579	1370
Mok	13	31	12	51
Zfp839	1951	2608	1957	2012
Cinp	2914	2798	2865	2722
Tecpr2	508	559	784	630
Ankrd9	601	557	761	611
6030440G07Rik	0	0	0	0
Rcor1	7127	7045	7943	6656
4930595D18Rik	3	6	12	7
Traf3	1819	1231	2320	1766
Amn	0	0	0	4
Cdc42bpb	174	223	122	95
A230065H16Rik	18	12	15	5
Exoc3l4	46	71	51	39
Tnfaip2	2141	4298	2522	3091
Gm266	0	0	0	0
Eif5	22318	21255	22050	22224
Snora28	201	180	188	89
2810029C07Rik	121	315	53	148
Mark3	7383	7393	8144	7466
Ckb	232	326	175	150
Trmt61a	3306	3130	3595	2322
Bag5	4767	4625	4730	3398
Apopt1	1945	2148	2248	1635
Klc1	4117	3644	3904	3710
Xrcc3	2752	2213	2478	2579
Zfyve21	1653	2168	1757	1582
Ppp1r13b	8550	11331	9871	10232
5033406O09Rik	2276	3294	2415	2348
2010107E04Rik	879	1187	916	903
Tdrd9	0	30	0	5
Rd3l	0	0	0	0
Aspg	0	0	0	0
Mir3073a	0	0	0	0
Mir3073b	0	0	0	0
Mir203	0	0	0	0
Kif26a	0	0	0	0
A730018C14Rik	0	0	0	0
B020018J22Rik	0	0	0	0
A530016L24Rik	0	0	0	0
Tmem179	2	0	0	0
Inf2	347	478	460	403
Adssl1	10454	8960	10375	9595
Siva1	2434	2195	2821	2490
Akt1	36112	31890	38271	30621
Mir6939	5	5	8	0
Zbtb42	658	825	658	520
Cep170b	2100	2468	2914	1557
Mir6940	0	0	0	0
Pld4	524	828	1393	639
BC022687	284	256	378	304
Cdca4	6773	7740	8478	7051
Gpr132	2445	2497	2396	1952
Jag2	1685	1733	1639	887
Mir6941	0	0	0	0
Nudt14	1905	2206	2118	1740
Brf1	7174	7965	7241	6488
Btbd6	1762	2041	1439	1675
Pacs2	3080	3327	4432	3015
Tex22	1	17	7	0
Mta1	10442	9880	11797	10188
Crip2	163	296	56	95
Crip1	1710	2095	2463	1923
4930427A07Rik	4927	4181	6246	4910
Tmem121	1680	1582	1880	997
Adam6b	6	0	0	0
Adam6a	0	0	0	0
Mir7094-1	0	0	0	0
Mir7094-2	0	0	0	0
Mir6388	0	0	0	0
Zfp386	2185	4191	3196	3296
Vipr2	2498	3093	2329	2051
Wdr60	778	775	691	854
Esyt2	3416	4864	4514	4097
D430020J02Rik	258	346	362	421
Ncapg2	3094	2315	4086	3567
Ptprn2	0	28	0	6
Gm10421	0	0	0	0
Gm5441	0	0	0	0
Mir153	0	2	0	0
Rapgef5	303	256	420	276
Cdca7l	16629	13426	17604	15401
Dnah11	36	87	26	15
Sp4	732	1097	675	877
D230030E09Rik	0	0	0	0
Sp8	0	0	0	0
Abcb5	0	0	0	0
Itgb8	0	0	0	0
Macc1	0	5	0	0
Tmem196	0	0	0	0
Speer6-ps1	0	0	0	0
2810429I04Rik	44	14	42	14
1700024F13Rik	6	6	0	12
Gdi2	13537	15291	15923	14569
Fam208b	1716	2069	1850	1600
Asb13	3388	4198	3609	3727
Calml3	0	0	0	0
Calm4	3	0	0	4
Calm5	0	0	0	0
Net1	2795	4429	3024	2808
Tubal3	0	0	0	0
Ucn3	0	0	0	0
Akr1c14	47	81	47	30
Akr1c18	0	0	0	0
Akr1c13	4093	5752	3648	4538
Akr1c19	1	6	0	7
Marcksl1-ps4	9	5	5	13
Akr1c12	177	117	136	199
Akr1c6	0	0	0	0
Akr1c20	0	0	1	0
Akr1c21	0	0	0	0
Akr1e1	2694	4180	2708	2983
1700016G22Rik	0	0	0	0
Klf6	2123	3866	2201	2322
Pitrm1	12110	10569	11306	12353
Pfkp	6267	4373	6860	5623
Adarb2	0	0	0	0
Wdr37	1577	2231	1825	1838
Idi1	137	171	167	99
Idi2	0	0	0	0
Gtpbp4	6675	5860	7490	5628
Larp4b	6196	5641	7753	6494
Dip2c	281	309	652	333
Zmynd11	8070	8460	8165	7632
Chrm3	10	2	0	0
Zp4-ps	0	0	0	0
Ryr2	0	3	0	2
Gm10336	177	120	246	216
Mtr	3609	3173	4309	4002
Actn2	185	149	104	90
Heatr1	3921	3414	5756	4327
Lgals8	7070	9222	7037	8729
Edaradd	228	199	231	244
Ero1lb	282	431	409	231
Gpr137b-ps	41	329	36	32
Prl2c4	0	0	0	0
Prl2c3	0	0	0	0
Prl2c2	0	0	0	0
Prl2c5	0	0	0	0
Gpr137b	475	518	343	422
Nid1	0	7	23	2
Lyst	694	672	696	622
Gng4	0	11	8	0
B3galnt2	4533	5764	4458	4193
Tbce	1814	2751	1828	1935
Ggps1	1551	2270	1613	1365
Arid4b	4148	4915	3524	3494
Hecw1	0	0	3	0
Mrpl32	1593	1967	1705	1660
Psma2	5712	6166	5874	5295
AW209491	3516	3438	3246	2170
Gli3	35	0	16	39
4933412O06Rik	0	0	0	0
A530046M15Rik	0	0	0	0
Inhba	2	53	0	26
Sugct	12	152	42	44
Mplkip	2799	4727	3651	3618
Cdk13	5386	6587	5506	5478
Mir466i	3	0	0	0
Rala	2267	2236	2533	2567
Yae1d1	568	695	525	451
4930448F12Rik	0	0	0	0
Pou6f2	0	0	0	0
Vps41	8384	8259	7529	8015
Amph	0	0	0	0
Stard3nl	2442	3219	2336	2337
9330199G10Rik	0	0	0	0
Epdr1	822	1449	631	838
Sfrp4	9	72	0	13
Nme8	0	0	0	0
A530099J19Rik	0	0	0	0
Gpr141	3	45	71	29
Elmo1	14227	15456	17422	16002
Aoah	29	31	28	5
Olfr1370	0	0	0	0
Olfr263	0	0	0	0
Olfr1368	0	0	0	0
Trim27	14466	13346	15319	13817
Gpx5	0	0	0	0
Gpx6	0	0	0	0
Olfr1367	0	0	0	0
Zscan12	1113	1254	984	810
Zkscan3	4056	5853	4128	4591
Mir6942	0	0	0	0
Pgbd1	145	167	61	141
Zscan26	868	1115	699	741
Mir1896	0	0	0	0
Nkapl	33	24	44	43
Zkscan4	82	274	83	148
Zfp389	5	4	14	6
Zkscan8	1170	1092	1663	1272
Olfr1366	0	0	0	0
Olfr1535	0	0	0	0
Olfr1364	0	0	0	0
Olfr1362	0	0	0	0
Olfr11	0	0	0	0
Olfr1361	0	0	0	0
Olfr1359	0	0	0	0
Olfr1360	0	0	0	0
Hist1h2bl	0	1	0	3
Hist1h2ai	6	0	8	3
Hist1h3h	0	0	0	0
Hist1h2bm	2	5	13	0
Hist1h4j	3	0	0	3
Hist1h4k	3	0	0	0
Hist1h2ak	6	21	13	3
Hist1h2bn	2	3	0	2
Hist1h1b	435	352	765	370
Hist1h3i	0	17	5	19
Hist1h2an	13	6	8	5
Hist1h2bp	14	2	6	0
Hist1h2bq	0	0	0	0
Hist1h2br	0	0	0	0
Hist1h2ao	0	0	0	0
Hist1h2ap	0	0	0	0
Hist1h4m	0	0	0	0
Hist1h4n	0	0	0	0
Mir1983	0	0	0	0
Zfp184	1612	1758	1637	1356
Pom121l2	0	14	4	0
Prss16	104	73	170	159
Hist1h2ah	5	0	6	0
Hist1h2bk	4	3	4	0
Hist1h4i	26	70	0	29
Hist1h2ag	1	5	11	15
Hist1h2bj	2	11	22	3
Vmn1r188	0	0	0	0
Vmn1r189	0	0	0	0
Vmn1r191	0	0	0	0
Vmn1r192	0	0	0	0
Vmn1r193	0	0	0	0
Vmn1r194	0	0	0	0
Vmn1r195	0	0	0	0
Vmn1r196	0	0	0	0
Vmn1r197	0	0	0	0
Vmn1r198	0	0	0	0
Vmn1r199	0	0	0	0
Vmn1r200	0	0	0	0
Vmn1r-ps103	0	0	0	0
Vmn1r201	0	0	0	0
Vmn1r202	0	0	0	0
Vmn1r203	0	0	0	0
Vmn1r204	0	0	0	0
Vmn1r205	0	0	0	0
Vmn1r206	0	0	0	0
Vmn1r207-ps	0	0	0	0
Vmn1r208	0	0	0	0
Vmn1r209	0	0	0	0
Vmn1r210	0	0	0	0
Vmn1r211	0	0	0	0
Vmn1r212	0	0	0	0
Vmn1r213	0	0	0	0
Vmn1r214	0	0	0	0
Vmn1r215	0	0	0	0
Vmn1r216	0	0	0	0
Vmn1r217	0	0	0	0
Vmn1r218	0	0	0	0
Vmn1r219	0	0	0	0
Vmn1r220	0	0	0	0
Vmn1r221	0	0	0	0
Vmn1r222	0	0	0	0
Vmn1r223	0	0	0	0
4930557F10Rik	0	0	0	0
4933404K08Rik	0	0	0	0
4930586N03Rik	0	0	0	0
Zfp322a	2166	3355	2104	2257
Abt1	2571	2480	2605	2293
C230035I16Rik	41	35	42	18
Btn1a1	0	20	0	0
Btn2a2	0	10	0	5
Hist1h4h	16	14	22	11
Hist1h2af	9	5	4	6
Hist1h3g	13	20	0	2
Hist1h2bh	0	3	0	2
Hist1h3f	15	0	0	9
Hist1h4f	0	0	10	0
Hist1h1d	102	182	151	149
Hist1h3e	18	5	1	9
Hist1h2ae	230	143	213	117
Hist1h2bg	259	22	63	18
Hist1h2bf	3	0	0	2
Hist1h2ad	2	0	0	0
Hist1h3d	53	23	36	18
Hist1h4d	216	350	378	378
Hist1h2be	56	25	24	11
Hist1h1e	328	509	501	461
Hist1h2ac	234	37	74	18
Hist1h2bc	450	582	541	443
Hist1h1t	0	0	0	0
Hist1h4c	1	17	10	9
Hfe	533	625	784	623
Hist1h1c	660	793	468	692
Hist1h3c	4	5	15	7
Hist1h2bb	6	10	12	11
Hist1h2ab	22	16	13	5
Hist1h3b	1	0	0	0
Hist1h4b	0	4	7	0
Hist1h4a	5	0	0	4
Hist1h3a	2	8	5	7
Hist1h1a	74	109	93	130
Trim38	8	1	0	1
Slc17a2	0	0	0	0
Slc17a3	0	0	6	0
Slc17a1	0	0	0	0
Slc17a4	0	0	5	3
Hist1h2ba	4	0	5	7
Hist1h2aa	5	4	5	14
Scgn	0	0	0	0
Lrrc16a	265	265	211	267
Cmah	590	435	1039	735
Fam65b	13242	18221	15787	15719
Gm11346	192	495	242	328
Gmnn	3038	2941	2978	2878
BC005537	1297	1600	1850	2075
Acot13	1037	1478	890	1023
Tdp2	6005	5880	5679	5691
D130043K22Rik	0	0	0	3
4932702P03Rik	0	0	0	0
Aldh5a1	219	219	231	333
9330162012Rik	44	41	34	58
Gpld1	368	410	815	331
Mrs2	625	747	731	641
Dcdc2a	0	1	0	1
Nrsn1	0	0	4	0
Gm11351	0	0	0	0
1700092E19Rik	0	0	0	0
Hdgfl1	0	0	0	0
Mir3970	0	0	0	0
Prl	0	0	0	0
Prl3d1	0	0	0	0
Prl3d2	0	0	0	0
Prl3d3	0	0	0	0
Prl3c1	0	0	0	0
Prl3b1	0	0	0	0
Prl3a1	0	0	0	0
Prl6a1	0	0	0	0
Prl8a2	0	0	0	0
Prl2b1	0	0	0	0
Prl8a6	0	0	0	0
Prl8a8	0	0	0	0
Prl8a9	0	0	0	0
Prl8a1	0	0	0	0
Prl7b1	0	0	0	0
Prl7a1	0	0	0	0
Prl7a2	0	0	0	0
Prl7d1	0	0	0	0
Prl7c1	0	0	0	0
Prl2a1	0	0	0	0
Prl2c1	0	0	0	0
Prl4a1	0	0	0	0
Prl5a1	0	0	0	0
2610307P16Rik	1737	2038	1205	1038
Mir6368	0	0	0	0
Sox4	40779	55240	38703	43498
A330102I10Rik	5	2	0	6
Cdkal1	2559	2930	2813	2826
E2f3	1554	1599	2106	1972
Mboat1	2425	2189	2703	2367
Agtr1a	48	92	17	21
Uqcrfs1	6835	7635	8276	7589
4930519D14Rik	0	0	0	0
Dusp22	814	1346	642	1040
Irf4	22	98	73	36
Exoc2	7140	8365	8311	7967
Hus1b	0	0	0	0
4930401O12Rik	0	0	0	0
Foxq1	110	140	56	42
1700018A04Rik	0	0	0	0
Foxf2	0	0	0	0
Foxc1	0	10	4	15
Gmds	2003	1610	1997	1631
Mylk4	0	0	0	0
Wrnip1	6064	6388	6671	6760
Serpinb1a	10684	15704	13621	16045
Serpinb1c	1	0	0	0
Serpinb6b	603	1079	655	853
Serpinb9	2480	4437	2184	2558
Serpinb9b	0	0	0	0
Serpinb1b	0	31	1	1
Serpinb9c	0	0	0	0
Serpinb9d	0	0	0	0
Serpinb9e	0	0	0	0
Serpinb9f	0	0	0	0
Serpinb9g	0	0	0	0
Gm6093	1	0	19	0
Serpinb6d	0	0	0	0
Serpinb6e	0	0	0	0
Serpinb6c	1	0	4	0
Serpinb6a	1315	1560	1414	1373
1110046J04Rik	2	5	0	2
Nqo2	1540	2203	1835	1766
Ripk1	6456	6663	7470	6967
Bphl	3441	2917	3024	3402
Tubb2a	331	311	283	296
4930447K03Rik	1	7	12	1
Tubb2b	0	0	0	0
Psmg4	961	1206	1029	973
Slc22a23	251	366	162	308
Pxdc1	0	11	0	5
Gm15908	0	0	0	0
Fam50b	0	0	0	0
Prpf4b	6730	7008	7716	6906
Fam217a	113	148	40	38
4933417A18Rik	0	0	0	0
Eci3	10	15	0	0
Eci2	4092	4996	3780	3895
1700011B04Rik	0	0	0	0
1700019C18Rik	0	0	0	0
Cdyl	2332	2075	2185	1910
Rpp40	1260	1229	1296	1185
Ppp1r3g	0	0	0	0
Lyrm4	915	1059	937	811
Fars2	2834	3075	2723	2820
Nrn1	0	0	0	0
F13a1	931	354	6386	3555
Ly86	86	38	420	174
Rreb1	2294	3073	4031	2844
Ssr1	18807	14726	21552	16944
Cage1	175	297	247	377
Riok1	4509	5152	4494	4801
Dsp	9	0	42	65
Snrnp48	1023	1403	1003	1102
Bmp6	16	8	9	3
4930579J19Rik	0	0	0	0
Txndc5	17973	12838	18007	13712
Bloc1s5	1914	2929	1536	2273
Eef1e1	2991	3535	2861	2461
Slc35b3	2068	3095	1880	2001
5033403F01Rik	5	28	4	3
Ofcc1	0	0	0	0
Tfap2a	0	5	0	0
Gm26688	0	0	0	0
Gcnt2	29187	45128	21711	25180
Pak1ip1	6140	6456	6078	6176
Tmem14c	3525	4408	4446	3601
Mak	2	0	0	0
Gcm2	0	0	0	0
Elovl2	51	113	100	104
Smim13	1207	1633	1689	1706
Nedd9	2132	2375	2103	1960
Tmem170b	1815	1930	1902	1668
Gm5082	0	0	0	0
Adtrp	0	7	0	0
Gm10790	0	0	4	0
Hivep1	942	1290	1186	927
Edn1	0	0	0	0
Phactr1	133	309	241	206
Tbc1d7	905	1184	918	1013
Gfod1	210	393	282	209
Sirt5	1690	2096	1683	1802
Nol7	4822	4493	4970	4181
Ranbp9	5689	7254	6581	6755
Mcur1	3429	4901	3806	3548
Rnf182	0	5	0	0
Gm20751	0	0	0	0
Cd83	96	166	0	61
Gm5083	0	0	0	0
A330076C08Rik	0	0	0	0
1700029N11Rik	0	0	0	0
Jarid2	6583	6128	8311	8098
Dtnbp1	9960	8638	9924	8839
Mylip	1518	2419	1767	1977
Gmpr	2948	3311	3289	2820
Atxn1	430	581	492	489
Stmnd1	0	0	0	0
Rbm24	2	12	0	0
Cap2	233	144	240	155
Fam8a1	562	761	740	741
Nup153	4733	5495	7945	5733
Kif13a	2116	2123	2419	2428
Nhlrc1	893	637	692	666
Tpmt	201	276	214	241
Kdm1b	1578	2464	2320	1478
Dek	16955	11787	15354	13984
Rnf144b	140	246	249	138
A930002C04Rik	0	0	0	0
G630093K05Rik	0	0	0	0
4931429P17Rik	0	0	0	0
A330033J07Rik	0	0	0	0
Id4	0	15	0	0
A330048O09Rik	0	0	0	0
Zfp169	387	764	277	363
Mirlet7d	2	1	0	2
Mirlet7f-1	0	0	0	1
Mirlet7a-1	0	0	0	4
Ptpdc1	743	809	568	708
Barx1	0	0	0	0
Phf2	3050	2698	4083	2900
Fam120a	13394	13294	19124	15839
Fam120aos	1999	3664	1977	2145
Wnk2	22	13	11	20
Ninj1	15114	12837	12353	8704
1110007C09Rik	4805	4911	4218	3455
Susd3	2314	2244	2216	1580
Fgd3	687	906	445	519
Bicd2	3164	3676	4110	3713
Ippk	1608	1690	1716	1644
Cenpp	777	853	892	833
Ecm2	28	64	27	73
Aspn	3	5	2	5
Omd	5	7	0	0
Ogn	5	14	5	2
Nol8	2204	2431	2087	2023
Iars	7587	5508	9017	6687
Gm906	0	0	0	0
2310081J21Rik	0	0	0	0
Fbxw17	1078	1300	893	1125
Nutm2	0	0	0	0
Mir683-1	0	0	0	0
Mir683-2	0	0	0	0
Gm904	0	0	0	0
Gm8765	0	0	0	0
4930518P08Rik	0	0	0	0
9430083A17Rik	96	168	65	144
Spin1	5278	6327	7230	6454
Nxnl2	90	162	84	44
